Name,Type,Direction,Device Name,Default,Default Multimedia,Default Communications,Device State,Muted,Volume dB,Volume Percent,Min Volume dB,Max Volume dB,Volume Step,Channels Count,Channels dB,Channels  Percent,Item ID,Command-Line Friendly ID,Process Path,Process ID,Window Title,Registry Key
Discord,Application,Render,2- Razer BlackShark V2 Pro,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{c55cb5c3-1c48-4716-a8d6-56bff3e90524}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,2- Razer BlackShark V2 Pro\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,VB-Audio Cable B,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{9c2ffb91-7173-4597-ba24-ba2c19c6f8c0}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio Cable B\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Capture,VB-Audio Cable B,,,,,No,,100.0%,,,0.00 dB,1,,100.0%,{0.0.1.00000000}.{464d4000-104a-4f2f-8368-030f43a30cdb}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,VB-Audio Cable B\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Discord,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|\Device\HarddiskVolume3\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe%b{00000000-0000-0000-0000-000000000000}|1%b8324,Focusrite Usb Audio\Application\Discord,C:\Users\ianwm\AppData\Local\Discord\app-1.0.9004\Discord.exe,8324,,
Firefox,Application,Render,Focusrite Usb Audio,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{627a8113-8580-480a-a444-9742cb88b6ac}|\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe%b{00000000-0000-0000-0000-000000000000}|1%b1744,Focusrite Usb Audio\Application\Firefox,C:\Program Files\Mozilla Firefox\firefox.exe,1744,javascript - node.js call external exe and wait for output - Stack Overflow — Mozilla Firefox,
Firefox,Application,Render,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,,,0.00 dB,2,,"100.0%, 100.0%",{0.0.0.00000000}.{194c0b2f-bbf6-4b72-8b03-acaa9f60be98}|\Device\HarddiskVolume3\Program Files\Mozilla Firefox\firefox.exe%b{00000000-0000-0000-0000-000000000000}|1%b1744,VB-Audio VoiceMeeter AUX VAIO\Application\Firefox,C:\Program Files\Mozilla Firefox\firefox.exe,1744,javascript - node.js call external exe and wait for output - Stack Overflow — Mozilla Firefox,
Line Volume,Subunit,Capture,VB-Audio VoiceMeeter AUX VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0001#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio VoiceMeeter AUX VAIO\Subunit\Line Volume,,,,
Line Volume,Subunit,Capture,VB-Audio Cable B,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0003#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio Cable B\Subunit\Line Volume,,,,
Line Volume,Subunit,Capture,VB-Audio VoiceMeeter VAIO,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0000#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio VoiceMeeter VAIO\Subunit\Line Volume,,,,
Line Volume,Subunit,Capture,VB-Audio Cable A,,,,,No,,100.0%,-96.00 dB,0.00 dB,0.50 dB,1,-0.00 dB,100.0%,{2}.\\?\root#media#0002#{6994ad04-93ef-11d0-a3cc-00a0c9223196}\topology/00020002,VB-Audio Cable A\Subunit\Line Volume,,,,
